codi,comarca,alumnes_homes_16_24_anys,alumnes_dones_16_24_anys,alumnes_total_16_24_anys,alumnes_homes_+25_anys,alumnes_dones_+25_anys,alumnes_total_+25_anys
01,alt camp,32,33,65,54,188,242
02,alt emporda,144,81,225,527,212,739
03,alt penedes,53,41,94,57,93,150
04,alt urgell,13,21,34,82,233,315
05,alta ribagorca,5,3,8,3,15,18
06,anoia,36,24,60,38,49,87
07,bages,89,93,182,459,448,907
08,baix camp,184,143,327,326,541,867
09,baix ebre,61,51,112,117,245,362
10,baix emporda,192,147,339,488,715,1203
11,baix llobregat,887,726,1613,2931,4002,6933
12,baix penedes,86,65,151,51,140,191
13,barcelones,2140,1856,3996,4905,10458,15363
14,bergueda,17,9,26,52,88,140
15,cerdanya,0,0,0,0,0,0
16,conca de barbera,6,11,17,43,97,140
17,garraf,138,120,258,254,602,856
18,garrigues,0,0,0,0,0,0
19,garrotxa,112,56,168,168,293,461
20,girones,461,307,768,521,1135,1656
21,maresme,513,309,822,1021,1740,2761
22,montsia,72,28,100,93,220,313
23,noguera,23,26,49,84,194,278
24,osona,136,92,228,304,506,810
25,pallars jussa,8,12,20,54,114,168
26,pallars sobira,0,0,0,0,0,0
27,pla d'urgell,32,50,82,159,442,601
28,pla de l'estany,59,51,110,99,198,297
29,priorat,0,0,0,0,0,0
30,ribera d'ebre,21,33,54,132,184,316
31,ripolles,11,15,26,42,89,131
32,segarra,28,14,42,88,144,232
33,segria,215,86,301,1282,739,2021
34,selva,230,175,405,373,704,1077
35,solsones,14,18,32,75,138,213
36,tarragones,392,257,649,824,1059,1883
37,terra alta,0,0,0,0,0,0
38,urgell,30,33,63,95,230,325
39,aran,4,5,9,42,115,157
40,valles occidental,766,731,1497,1888,4378,6266
41,valles oriental,871,354,1225,2000,2102,4102
42,moianes,0,0,0,0,0,0
