codi,comarca,poblacio_total_16_a_24_anys,poblacio_homes_16_a_24_anys,poblacio_dones_16_a_24_anys
01,alt camp,3941,2013,1928
02,alt emporda,12458,6455,6003
03,alt penedes,9375,4738,4637
04,alt urgell,1754,913,841
05,alta ribagorca,300,150,150
06,anoia,10468,5413,5055
07,bages,14845,7656,7189
08,baix camp,16823,8462,8361
09,baix ebre,6698,3485,3213
10,baix emporda,11543,5946,5597
11,baix llobregat,71266,36716,34550
12,baix penedes,8773,4522,4251
13,barcelones,184674,93975,90699
14,bergueda,3005,1562,1443
15,cerdanya,1582,861,721
16,conca de barbera,1651,888,763
17,garraf,12629,6483,6146
18,garrigues,1445,765,680
19,garrotxa,4899,2557,2342
20,girones,18481,9535,8946
21,maresme,39035,20340,18695
22,montsia,5583,2822,2761
23,noguera,3304,1785,1519
24,osona,14611,7569,7042
25,pallars jussa,1031,560,471
26,pallars sobira,542,267,275
27,pla d'urgell,3152,1603,1549
28,pla de l'estany,2977,1542,1435
29,priorat,707,377,330
30,ribera d'ebre,1855,936,919
31,ripolles,1791,932,859
32,segarra,2225,1174,1051
33,segria,18346,9491,8855
34,selva,15248,8097,7151
35,solsones,1176,621,555
36,tarragones,22463,11493,10970
37,terra alta,841,438,403
38,urgell,3208,1656,1552
39,aran,837,436,401
40,valles occidental,84309,43389,40920
41,valles oriental,36890,19117,17773
42,moianes,1231,647,584
