codi,comarca,poblacio_total_16_a_24_anys,poblacio_homes_16_a_24_anys,poblacio_dones_16_a_24_anys
01,alt camp,4063,2118,1945
02,alt emporda,12663,6535,6128
03,alt penedes,9605,4865,4740
04,alt urgell,1720,910,810
05,alta ribagorca,292,141,151
06,anoia,10846,5643,5203
07,bages,15437,7968,7469
08,baix camp,17357,8778,8579
09,baix ebre,6782,3541,3241
10,baix emporda,11731,6039,5692
11,baix llobregat,74056,38250,35806
12,baix penedes,9127,4705,4422
13,barcelones,190207,97019,93188
14,bergueda,3057,1608,1449
15,cerdanya,1656,884,772
16,conca de barbera,1691,916,775
17,garraf,13177,6753,6424
18,garrigues,1512,835,677
19,garrotxa,5089,2702,2387
20,girones,19187,10014,9173
21,maresme,40344,21123,19221
22,montsia,5814,2997,2817
23,noguera,3340,1792,1548
24,osona,15115,7926,7189
25,pallars jussa,1041,549,492
26,pallars sobira,547,282,265
27,pla d'urgell,3224,1686,1538
28,pla de l'estany,3011,1564,1447
29,priorat,708,395,313
30,ribera d'ebre,1831,911,920
31,ripolles,1794,930,864
32,segarra,2280,1244,1036
33,segria,18833,9858,8975
34,selva,15797,8494,7303
35,solsones,1209,626,583
36,tarragones,23271,11958,11313
37,terra alta,863,440,423
38,urgell,3248,1706,1542
39,aran,853,448,405
40,valles occidental,87084,44816,42268
41,valles oriental,38327,20047,18280
42,moianes,1258,660,598
