codi,comarca,dones,homes,total
01,alt camp,21829,22466,44295
02,alt emporda,69885,70426,140311
03,alt penedes,54145,53945,108090
04,alt urgell,10120,10175,20295
05,alta ribagorca,1846,1958,3804
06,anoia,59937,60672,120609
07,bages,89780,87819,177599
08,baix camp,96936,94192,191128
09,baix ebre,38402,38862,77264
10,baix emporda,66827,66619,133446
11,baix llobregat,417587,403964,821551
12,baix penedes,51930,52567,104497
13,barcelones,1179100,1077344,2256444
14,bergueda,19651,19611,39262
15,cerdanya,8885,9271,18156
16,conca de barbera,9766,10218,19984
17,garraf,75570,73647,149217
18,garrigues,8999,9841,18840
19,garrotxa,28576,28615,57191
20,girones,96981,95124,192105
21,maresme,228093,222350,450443
22,montsia,33562,33996,67558
23,noguera,18634,19977,38611
24,osona,79725,80094,159819
25,pallars jussa,6336,6670,13006
26,pallars sobira,3361,3547,6908
27,pla d'urgell,17979,18809,36788
28,pla de l'estany,16108,16081,32189
29,priorat,4379,4836,9215
30,ribera d'ebre,10701,11067,21768
31,ripolles,12538,12459,24997
32,segarra,10999,11971,22970
33,segria,103345,104609,207954
34,selva,84424,86310,170734
35,solsones,6670,6787,13457
36,tarragones,129127,127220,256347
37,terra alta,5580,5845,11425
38,urgell,18042,18443,36485
39,aran,4890,5160,10050
40,valles occidental,469350,453832,923182
41,valles oriental,204745,203720,408465
42,moianes,6612,6941,13553
