codi,comarca,alumnes_homes_16_24_anys,alumnes_dones_16_24_anys,alumnes_total_16_24_anys,alumnes_homes_+25_anys,alumnes_dones_+25_anys,alumnes_total_+25_anys
01,alt camp,22,18,40,50,105,155
02,alt emporda,212,96,308,608,275,883
03,alt penedes,40,32,72,93,117,210
04,alt urgell,32,13,45,81,163,244
05,alta ribagorca,3,7,10,5,19,24
06,anoia,18,13,31,53,53,106
07,bages,101,77,178,622,320,942
08,baix camp,157,154,311,274,502,776
09,baix ebre,63,62,125,93,218,311
10,baix emporda,117,108,225,395,572,967
11,baix llobregat,666,517,1183,2595,3028,5623
12,baix penedes,58,54,112,53,163,216
13,barcelones,2076,1668,3744,4240,8347,12587
14,bergueda,23,19,42,56,86,142
15,cerdanya,0,0,0,0,0,0
16,conca de barbera,27,12,39,35,79,114
17,garraf,150,124,274,273,441,714
18,garrigues,0,0,0,0,0,0
19,garrotxa,184,79,263,182,212,394
20,girones,459,218,677,411,741,1152
21,maresme,433,248,681,1107,1613,2720
22,montsia,40,13,53,51,151,202
23,noguera,14,10,24,65,120,185
24,osona,111,94,205,326,403,729
25,pallars jussa,18,9,27,47,125,172
26,pallars sobira,0,0,0,0,0,0
27,pla d'urgell,35,33,68,111,286,397
28,pla de l'estany,85,59,144,126,236,362
29,priorat,0,0,0,0,0,0
30,ribera d'ebre,27,15,42,113,165,278
31,ripolles,8,17,25,44,85,129
32,segarra,17,17,34,72,107,179
33,segria,213,63,276,936,589,1525
34,selva,198,133,331,332,632,964
35,solsones,24,11,35,74,139,213
36,tarragones,285,180,465,651,777,1428
37,terra alta,0,0,0,0,0,0
38,urgell,30,14,44,106,213,319
39,aran,3,9,12,40,101,141
40,valles occidental,735,639,1374,1528,3283,4811
41,valles oriental,808,299,1107,1475,1692,3167
42,moianes,0,0,0,0,0,0
