codi,comarca,dones,homes,total
01,alt camp,22027,22706,44733
02,alt emporda,70677,71351,142028
03,alt penedes,54846,54656,109502
04,alt urgell,10072,10114,20186
05,alta ribagorca,1862,1979,3841
06,anoia,60971,61888,122859
07,bages,90836,89129,179965
08,baix camp,98298,95598,193896
09,baix ebre,38622,39324,77946
10,baix emporda,67555,67450,135005
11,baix llobregat,422862,408785,831647
12,baix penedes,53268,53929,107197
13,barcelones,1190466,1094010,2284476
14,bergueda,19905,19915,39820
15,cerdanya,9080,9422,18502
16,conca de barbera,9735,10229,19964
17,garraf,76915,75049,151964
18,garrigues,9015,9920,18935
19,garrotxa,28998,29328,58326
20,girones,98532,97031,195563
21,maresme,231213,226109,457322
22,montsia,33803,34510,68313
23,noguera,18720,20295,39015
24,osona,81034,81872,162906
25,pallars jussa,6409,6738,13147
26,pallars sobira,3361,3552,6913
27,pla d'urgell,17978,19001,36979
28,pla de l'estany,16294,16235,32529
29,priorat,4384,4794,9178
30,ribera d'ebre,10717,11147,21864
31,ripolles,12590,12570,25160
32,segarra,11084,12127,23211
33,segria,104442,106380,210822
34,selva,85850,87834,173684
35,solsones,6695,6830,13525
36,tarragones,131334,129836,261170
37,terra alta,5542,5809,11351
38,urgell,18280,18706,36986
39,aran,4957,5162,10119
40,valles occidental,475428,459821,935249
41,valles oriental,207082,206140,413222
42,moianes,6745,7139,13884
