codi,comarca,alumnes_homes_16_24_anys,alumnes_dones_16_24_anys,alumnes_total_16_24_anys,alumnes_homes_+25_anys,alumnes_dones_+25_anys,alumnes_total_+25_anys
01,alt camp,24,24,48,67,189,256
02,alt emporda,235,66,301,628,334,962
03,alt penedes,82,52,134,142,239,381
04,alt urgell,19,23,42,121,258,379
05,alta ribagorca,0,0,0,0,20,20
06,anoia,27,20,47,60,152,212
07,bages,110,76,186,619,481,1100
08,baix camp,142,118,260,305,762,1067
09,baix ebre,42,58,100,88,259,347
10,baix emporda,109,123,232,430,759,1189
11,baix llobregat,772,603,1375,2730,4158,6888
12,baix penedes,51,77,128,100,327,427
13,barcelones,2025,1982,4007,4683,10611,15294
14,bergueda,40,30,70,65,125,190
15,cerdanya,0,0,0,0,0,0
16,conca de barbera,11,4,15,62,152,214
17,garraf,116,96,212,283,601,884
18,garrigues,0,0,0,0,0,0
19,garrotxa,81,65,146,176,286,462
20,girones,434,282,716,574,1120,1694
21,maresme,449,264,713,1215,2164,3379
22,montsia,47,44,91,86,278,364
23,noguera,19,23,42,74,207,281
24,osona,143,130,273,363,586,949
25,pallars jussa,10,2,12,47,139,186
26,pallars sobira,0,0,0,0,0,0
27,pla d'urgell,57,50,107,152,432,584
28,pla de l'estany,85,52,137,126,250,376
29,priorat,0,0,0,0,0,0
30,ribera d'ebre,42,19,61,112,224,336
31,ripolles,13,11,24,30,90,120
32,segarra,41,24,65,74,147,221
33,segria,180,95,275,967,771,1738
34,selva,144,132,276,421,929,1350
35,solsones,28,17,45,82,165,247
36,tarragones,238,181,419,863,1128,1991
37,terra alta,0,0,0,0,0,0
38,urgell,28,30,58,109,268,377
39,aran,4,10,14,48,132,180
40,valles occidental,782,668,1450,1910,4534,6444
41,valles oriental,893,291,1184,1491,2063,3554
42,moianes,0,0,0,0,0,0
