codi,comarca,poblacio_total_16_a_24_anys,poblacio_homes_16_a_24_anys,poblacio_dones_16_a_24_anys
01,alt camp,4201,2224,1977
02,alt emporda,13308,6800,6508
03,alt penedes,10482,5389,5093
04,alt urgell,1732,921,811
05,alta ribagorca,300,146,154
06,anoia,12011,6309,5702
07,bages,16712,8739,7973
08,baix camp,18806,9630,9176
09,baix ebre,7203,3935,3268
10,baix emporda,12386,6455,5931
11,baix llobregat,79722,41223,38499
12,baix penedes,10061,5159,4902
13,barcelones,197645,101714,95931
14,bergueda,3212,1683,1529
15,cerdanya,1797,953,844
16,conca de barbera,1815,967,848
17,garraf,14534,7488,7046
18,garrigues,1617,901,716
19,garrotxa,5556,3021,2535
20,girones,20432,10627,9805
21,maresme,43455,22975,20480
22,montsia,6157,3272,2885
23,noguera,3539,1956,1583
24,osona,15863,8367,7496
25,pallars jussa,1076,548,528
26,pallars sobira,576,304,272
27,pla d'urgell,3418,1820,1598
28,pla de l'estany,3244,1683,1561
29,priorat,714,388,326
30,ribera d'ebre,1806,931,875
31,ripolles,1924,1011,913
32,segarra,2367,1299,1068
33,segria,19923,10611,9312
34,selva,16912,9017,7895
35,solsones,1245,652,593
36,tarragones,24856,12933,11923
37,terra alta,901,471,430
38,urgell,3515,1849,1666
39,aran,860,460,400
40,valles occidental,93509,47981,45528
41,valles oriental,41342,21596,19746
42,moianes,1380,733,647
