codi,comarca,total_homes,total_dones,total,any
01,alt camp,1050,1378,2427,2022
02,alt emporda,2709,3659,6368,2022
03,alt penedes,2050,2949,4998,2022
04,alt urgell,307,434,740,2022
05,alta ribagorca,47,55,101,2022
06,anoia,2739,4198,6937,2022
07,bages,3993,5270,9263,2022
08,baix camp,4303,6249,10551,2022
09,baix ebre,1735,2163,3897,2022
10,baix emporda,2270,2951,5220,2022
11,baix llobregat,14988,20833,35820,2022
12,baix penedes,3035,4301,7335,2022
13,barcelones,42970,53732,96701,2022
14,bergueda,739,1034,1772,2022
15,cerdanya,199,270,468,2022
16,conca de barbera,337,415,751,2022
17,garraf,3308,4429,7736,2022
18,garrigues,337,379,716,2022
19,garrotxa,903,1086,1989,2022
20,girones,4066,4833,8899,2022
21,maresme,9350,12741,22090,2022
22,montsia,1445,2036,3480,2022
23,noguera,844,1010,1854,2022
24,osona,2985,3998,6982,2022
25,pallars jussa,255,273,527,2022
26,pallars sobira,98,111,209,2022
27,pla d'urgell,648,871,1519,2022
28,pla de l'estany,468,576,1043,2022
29,priorat,143,186,329,2022
30,ribera d'ebre,425,551,976,2022
31,ripolles,362,475,837,2022
32,segarra,322,437,758,2022
33,segria,4441,5935,10375,2022
34,selva,3583,4905,8487,2022
35,solsones,196,268,463,2022
36,tarragones,5431,7673,13104,2022
37,terra alta,164,196,360,2022
38,urgell,648,962,1610,2022
39,aran,113,115,228,2022
40,valles occidental,19218,27177,46394,2022
41,valles oriental,8212,11609,19820,2022
42,moianes,217,310,527,2022
01,alt camp,1287,1637,2923,2021
02,alt emporda,3764,4660,8424,2021
03,alt penedes,2514,3373,5886,2021
04,alt urgell,412,533,945,2021
05,alta ribagorca,68,75,143,2021
06,anoia,3343,4848,8190,2021
07,bages,4782,6002,10783,2021
08,baix camp,5595,7638,13233,2021
09,baix ebre,2173,2537,4710,2021
10,baix emporda,3156,3792,6947,2021
11,baix llobregat,18735,25123,43857,2021
12,baix penedes,3705,4983,8688,2021
13,barcelones,56658,67637,124295,2021
14,bergueda,879,1146,2024,2021
15,cerdanya,260,368,628,2021
16,conca de barbera,424,487,910,2021
17,garraf,4013,5295,9308,2021
18,garrigues,391,421,811,2021
19,garrotxa,1086,1278,2363,2021
20,girones,5034,5729,10762,2021
21,maresme,11665,15284,26949,2021
22,montsia,1820,2432,4252,2021
23,noguera,939,1157,2095,2021
24,osona,3609,4559,8167,2021
25,pallars jussa,311,347,657,2021
26,pallars sobira,138,162,300,2021
27,pla d'urgell,776,975,1750,2021
28,pla de l'estany,559,647,1205,2021
29,priorat,198,229,427,2021
30,ribera d'ebre,556,639,1194,2021
31,ripolles,465,559,1024,2021
32,segarra,380,522,901,2021
33,segria,5643,7106,12749,2021
34,selva,4745,6110,10855,2021
35,solsones,249,309,557,2021
36,tarragones,6990,9595,16585,2021
37,terra alta,201,231,431,2021
38,urgell,791,1103,1893,2021
39,aran,206,193,398,2021
40,valles occidental,23183,31603,54786,2021
41,valles oriental,9798,13768,23565,2021
42,moianes,249,364,612,2021
01,alt camp,1392,1704,3095,2020
02,alt emporda,3886,4773,8658,2020
03,alt penedes,2632,3528,6160,2020
04,alt urgell,444,522,965,2020
05,alta ribagorca,70,69,138,2020
06,anoia,3562,4932,8494,2020
07,bages,5053,6135,11188,2020
08,baix camp,6129,7934,14063,2020
09,baix ebre,2299,2677,4975,2020
10,baix emporda,3396,4019,7414,2020
11,baix llobregat,20279,26292,46571,2020
12,baix penedes,3784,5077,8860,2020
13,barcelones,60975,71157,132131,2020
14,bergueda,907,1182,2089,2020
15,cerdanya,271,344,615,2020
16,conca de barbera,455,500,955,2020
17,garraf,4263,5580,9843,2020
18,garrigues,396,394,789,2020
19,garrotxa,1194,1382,2575,2020
20,girones,5344,5938,11282,2020
21,maresme,12569,16037,28606,2020
22,montsia,1876,2460,4335,2020
23,noguera,896,1163,2059,2020
24,osona,3842,4940,8781,2020
25,pallars jussa,328,350,677,2020
26,pallars sobira,160,159,319,2020
27,pla d'urgell,758,953,1711,2020
28,pla de l'estany,630,687,1317,2020
29,priorat,204,238,442,2020
30,ribera d'ebre,548,622,1170,2020
31,ripolles,512,568,1079,2020
32,segarra,378,485,863,2020
33,segria,5779,7110,12888,2020
34,selva,5072,6383,11455,2020
35,solsones,252,300,552,2020
36,tarragones,7745,10000,17745,2020
37,terra alta,192,245,437,2020
38,urgell,859,1154,2013,2020
39,aran,235,203,438,2020
40,valles occidental,24978,32999,57977,2020
41,valles oriental,10637,14473,25109,2020
42,moianes,259,352,611,2020
01,alt camp,1095,1476,2570,2019
02,alt emporda,3173,3997,7169,2019
03,alt penedes,2174,3104,5277,2019
04,alt urgell,352,419,770,2019
05,alta ribagorca,43,44,87,2019
06,anoia,2843,4367,7209,2019
07,bages,4115,5384,9499,2019
08,baix camp,4707,6526,11232,2019
09,baix ebre,1837,2284,4120,2019
10,baix emporda,2733,3449,6182,2019
11,baix llobregat,16166,22579,38744,2019
12,baix penedes,3052,4295,7346,2019
13,barcelones,47793,58677,106470,2019
14,bergueda,743,1075,1817,2019
15,cerdanya,186,267,452,2019
16,conca de barbera,336,402,738,2019
17,garraf,3401,4766,8167,2019
18,garrigues,334,357,691,2019
19,garrotxa,937,1133,2069,2019
20,girones,4186,4912,9098,2019
21,maresme,10318,13974,24291,2019
22,montsia,1468,2087,3555,2019
23,noguera,759,1032,1790,2019
24,osona,2985,4380,7364,2019
25,pallars jussa,282,290,572,2019
26,pallars sobira,106,112,217,2019
27,pla d'urgell,605,798,1402,2019
28,pla de l'estany,485,559,1044,2019
29,priorat,163,217,379,2019
30,ribera d'ebre,498,561,1059,2019
31,ripolles,378,480,858,2019
32,segarra,320,413,733,2019
33,segria,4711,6132,10843,2019
34,selva,3750,4981,8730,2019
35,solsones,208,243,451,2019
36,tarragones,5905,8081,13985,2019
37,terra alta,161,208,369,2019
38,urgell,690,1030,1719,2019
39,aran,129,147,276,2019
40,valles occidental,20418,29059,49476,2019
41,valles oriental,8706,12758,21463,2019
42,moianes,196,302,497,2019
01,alt camp,1133,1462,2594,2018
02,alt emporda,3437,4210,7647,2018
03,alt penedes,2240,3117,5357,2018
04,alt urgell,378,421,799,2018
05,alta ribagorca,49,43,91,2018
06,anoia,2997,4592,7588,2018
07,bages,4188,5314,9501,2018
08,baix camp,4948,6654,11602,2018
09,baix ebre,1935,2362,4297,2018
10,baix emporda,2937,3490,6426,2018
11,baix llobregat,16789,23585,40373,2018
12,baix penedes,3212,4447,7658,2018
13,barcelones,49322,60517,109838,2018
14,bergueda,793,1130,1923,2018
15,cerdanya,197,259,455,2018
16,conca de barbera,360,439,799,2018
17,garraf,3418,4855,8272,2018
18,garrigues,351,400,751,2018
19,garrotxa,934,1120,2054,2018
20,girones,4312,5030,9342,2018
21,maresme,10675,14414,25089,2018
22,montsia,1652,2207,3859,2018
23,noguera,819,1075,1894,2018
24,osona,3138,4499,7637,2018
25,pallars jussa,263,279,542,2018
26,pallars sobira,103,115,217,2018
27,pla d'urgell,642,876,1518,2018
28,pla de l'estany,496,593,1089,2018
29,priorat,175,229,403,2018
30,ribera d'ebre,527,613,1139,2018
31,ripolles,410,520,929,2018
32,segarra,353,443,795,2018
33,segria,5059,6341,11400,2018
34,selva,3873,5072,8945,2018
35,solsones,212,244,456,2018
36,tarragones,6220,8193,14412,2018
37,terra alta,166,208,374,2018
38,urgell,738,1046,1783,2018
39,aran,146,155,300,2018
40,valles occidental,21024,29561,50585,2018
41,valles oriental,8957,12830,21786,2018
42,moianes,198,296,493,2018
