comarca;dones;homes;total
Alt Camp;21829;22466;44295
Alt Empordà;69885;70426;140311
Alt Penedès;54145;53945;108090
Alt Urgell;10120;10175;20295
Alta Ribagorça;1846;1958;3804
Anoia;59937;60672;120609
Aran;4890;5160;10050
Bages;89780;87819;177599
Baix Camp;96936;94192;191128
Baix Ebre;38402;38862;77264
Baix Empordà;66827;66619;133446
Baix Llobregat;417587;403964;821551
Baix Penedès;51930;52567;104497
Barcelonès;1179100;1077344;2256444
Berguedà;19651;19611;39262
Cerdanya;8885;9271;18156
Conca de Barberà;9766;10218;19984
Garraf;75570;73647;149217
Garrigues;8999;9841;18840
Garrotxa;28576;28615;57191
Gironès;96981;95124;192105
Maresme;228093;222350;450443
Moianès;6612;6941;13553
Montsià;33562;33996;67558
Noguera;18634;19977;38611
Osona;79725;80094;159819
Pallars Jussà;6336;6670;13006
Pallars Sobirà;3361;3547;6908
Pla d'Urgell;17979;18809;36788
Pla de l'Estany;16108;16081;32189
Priorat;4379;4836;9215
Ribera d'Ebre;10701;11067;21768
Ripollès;12538;12459;24997
Segarra;10999;11971;22970
Segrià;103345;104609;207954
Selva;84424;86310;170734
Solsonès;6670;6787;13457
Tarragonès;129127;127220;256347
Terra Alta;5580;5845;11425
Urgell;18042;18443;36485
Vallès Occidental;469350;453832;923182
Vallès Oriental;204745;203720;408465
Catalunya;3881911;3747978;7629889
Metropolità;2500748;2363221;4863969
Comarques Gironines;375337;375616;750953
Camp de Tarragona;262036;258922;520958
Terres de l'Ebre;88254;89773;178027
Ponent;177981;183635;361616
Comarques Centrals;203124;201932;405056
Alt Pirineu i Aran;35436;36775;72211
Penedès;239010;238110;477120
Barcelona;2884162;2743849;5628011
Girona;382696;383079;765775
Lleida;212840;219803;432643
Tarragona;402222;401249;803471
