comarca;poblacio_total_16_a_24_anys;poblacio_homes_16_a_24_anys;poblacio_dones_16_a_24_anys
Alt Camp;4176;2195;1981
Alt Empordà;13092;6756;6336
Alt Penedès;10094;5160;4934
Alt Urgell;1678;882;796
Alta Ribagorça;277;134;143
Anoia;11419;5971;5448
Aran;854;461;393
Bages;16212;8458;7754
Baix Camp;18195;9281;8914
Baix Ebre;7041;3799;3242
Baix Empordà;12058;6221;5837
Baix Llobregat;77491;40016;37475
Baix Penedès;9543;4872;4671
Barcelonès;197879;101797;96082
Berguedà;3163;1646;1517
Cerdanya;1719;929;790
Conca de Barberà;1737;944;793
Garraf;13939;7197;6742
Garrigues;1551;867;684
Garrotxa;5399;2935;2464
Gironès;20001;10474;9527
Maresme;42113;22233;19880
Moianès;1331;703;628
Montsià;6022;3186;2836
Noguera;3493;1924;1569
Osona;15577;8203;7374
Pallars Jussà;1070;558;512
Pallars Sobirà;543;291;252
Pla d'Urgell;3383;1799;1584
Pla de l'Estany;3117;1610;1507
Priorat;694;382;312
Ribera d'Ebre;1821;919;902
Ripollès;1838;967;871
Segarra;2340;1290;1050
Segrià;19648;10423;9225
Selva;16531;8898;7633
Solsonès;1217;638;579
Tarragonès;24257;12569;11688
Terra Alta;879;456;423
Urgell;3367;1768;1599
Vallès Occidental;90713;46708;44005
Vallès Oriental;40002;20971;19031
Catalunya;707458;367485;339973
Metropolità;448573;231924;216649
Comarques Gironines;72034;37860;34174
Camp de Tarragona;49059;25372;23687
Terres de l'Ebre;15763;8359;7404
Ponent;33774;18071;15703
Comarques Centrals;37556;19664;17892
Alt Pirineu i Aran;6143;3257;2886
Penedès;44559;22982;21577
Barcelona;519958;269076;250882
Girona;73460;38625;34835
Lleida;39677;21183;18494
Tarragona;74362;38600;35762
