comarca;dones;homes;total
Alt Camp;22027;22706;44733
Alt Empordà;70677;71351;142028
Alt Penedès;54846;54656;109502
Alt Urgell;10072;10114;20186
Alta Ribagorça;1862;1979;3841
Anoia;60971;61888;122859
Aran;4957;5162;10119
Bages;90836;89129;179965
Baix Camp;98298;95598;193896
Baix Ebre;38622;39324;77946
Baix Empordà;67555;67450;135005
Baix Llobregat;422862;408785;831647
Baix Penedès;53268;53929;107197
Barcelonès;1190466;1094010;2284476
Berguedà;19905;19915;39820
Cerdanya;9080;9422;18502
Conca de Barberà;9735;10229;19964
Garraf;76915;75049;151964
Garrigues;9015;9920;18935
Garrotxa;28998;29328;58326
Gironès;98532;97031;195563
Maresme;231213;226109;457322
Moianès;6745;7139;13884
Montsià;33803;34510;68313
Noguera;18720;20295;39015
Osona;81034;81872;162906
Pallars Jussà;6409;6738;13147
Pallars Sobirà;3361;3552;6913
Pla d'Urgell;17978;19001;36979
Pla de l'Estany;16294;16235;32529
Priorat;4384;4794;9178
Ribera d'Ebre;10717;11147;21864
Ripollès;12590;12570;25160
Segarra;11084;12127;23211
Segrià;104442;106380;210822
Selva;85850;87834;173684
Solsonès;6695;6830;13525
Tarragonès;131334;129836;261170
Terra Alta;5542;5809;11351
Urgell;18280;18706;36986
Vallès Occidental;475428;459821;935249
Vallès Oriental;207082;206140;413222
Catalunya;3928399;3804357;7732756
Metropolità;2528951;2396909;4925860
Comarques Gironines;380478;381782;762260
Camp de Tarragona;265769;263168;528937
Terres de l'Ebre;88682;90783;179465
Ponent;179499;186426;365925
Comarques Centrals;205918;205595;411513
Alt Pirineu i Aran;35738;36972;72710
Penedès;243370;242745;486115
Barcelona;2918153;2784430;5702583
Girona;387977;389362;777339
Lleida;214558;222705;437263
Tarragona;407718;407871;815589
